RunID,seed,log_inv_sq_dist_m,seed_x_m,seed_y_m
Run_8_1,30,-14.9789197956496,8.95752119133249e-05,1.4477247302420438e-05
Run_8_1,31,-15.451049913111056,8.007414964959025e-05,6.382228252477944e-05
Run_8_1,32,-15.225793460007244,6.370001987088473e-05,9.346442297101022e-06
Run_8_1,33,-15.405098431526019,8.334565178956837e-05,6.092152567580343e-05
Run_8_1,34,-14.889831983869009,1.471599934156984e-05,5.722928163595498e-06
Run_8_1,35,-15.265632307562162,7.841367472428829e-05,2.006875495426357e-05
Run_8_1,36,-15.206191054736513,7.703117760829628e-05,1.5632946509867908e-05
Run_8_1,37,-15.418358614732181,1.7302457639016212e-05,5.916717702057213e-05
Run_8_1,38,-15.090531957804059,7.274778210557998e-05,7.154918881133199e-06
Run_8_1,39,-14.74250355133251,1.729594240896404e-06,8.95208343397826e-05
Run_8_1,40,-15.681889356479958,6.839520649518818e-05,3.5760149103589355e-05
Run_8_1,41,-15.202871155256368,5.839398663956672e-05,9.205566341988742e-05
Run_8_1,42,-14.908205298799606,8.18418829003349e-05,3.668035101145506e-06
Run_8_1,43,-14.810614839757402,6.7106581758707765e-06,9.059326616115868e-05
Run_8_1,44,-14.940153561076155,2.94075473677367e-05,9.961526712868364e-05
Run_8_1,45,-15.420583587097981,3.014137225691229e-05,2.1785561880096797e-05
Run_8_1,46,-15.348656974865014,7.778259140904993e-05,7.473706868477166e-05
Run_8_1,47,-14.66765677177523,2.0075893495231867e-06,9.49779196176678e-05
Run_8_1,48,-15.597546885110571,7.383192263077945e-05,3.696496111806482e-05
Run_8_1,49,-15.78236385164259,6.460903428960592e-05,5.956314657814801e-05
Run_8_1,50,-14.938599801681097,1.3619479653425517e-05,8.96111962152645e-05
Run_8_1,51,-15.24749527104651,8.657893852796405e-05,2.944024191237986e-05
Run_8_1,52,-15.296303764021934,8.939775456674398e-05,4.419338419102133e-05
Run_8_1,53,-15.467120668826533,6.690781395882368e-05,7.72800412029028e-05
Run_8_1,54,-14.984523420037299,2.047244552522898e-05,6.4610196975991134e-06
Run_8_1,55,-15.056420925332947,6.342250211164355e-05,9.711661518085748e-05
Run_8_1,56,-15.626358254793598,7.539289160631597e-05,5.320869970601052e-05
Run_8_1,57,-15.82466167447579,4.3565383763052526e-05,6.282301368191838e-05
Run_8_1,58,-14.825468292851395,1.0165742319077252e-05,5.955256707966328e-06
Run_8_1,59,-15.368155370728923,5.604115424212069e-05,1.3496698322705924e-05
Run_8_1,60,-15.413489823282076,2.776793371886015e-05,7.576195772271604e-05
Run_8_1,61,-15.602693989071776,5.65332307247445e-05,7.521086044143886e-05
Run_8_1,62,-15.92354164606589,5.359056054148823e-05,4.392969985492528e-05
Run_8_1,63,-15.054889304783151,4.818390822038055e-06,6.885067613329739e-05
Run_8_1,64,-15.467100637445705,7.56211998173967e-05,2.9390344861894848e-05
Run_8_1,65,-15.354877123569839,8.129059011116625e-05,6.981062721461058e-05
Run_8_1,66,-15.654505803057802,7.02637484529987e-05,6.292946771718561e-05
Run_8_1,67,-15.431456779775663,3.815630315802992e-05,1.7940815584734085e-05
Run_8_1,68,-15.165835006457824,4.3812454515136784e-05,5.17701217904687e-06
Run_8_1,69,-14.971819672742974,9.622916798107328e-05,7.585387274157257e-05
Run_8_1,70,-15.292540321327834,1.6609619837254287e-05,2.872986905276776e-05
Run_9_1,1,-15.6340652962254,6.790461544878782e-05,6.992043300997466e-05
Run_9_1,2,-14.822086768968466,1.6271976148709655e-05,9.277523742057383e-05
Run_9_1,3,-15.532731757328646,8.23809701949358e-05,5.732431248761714e-05
Run_9_1,4,-15.205469616938213,8.340636014472694e-05,1.9381980155594647e-05
Run_9_1,5,-15.180140042483227,8.963569281622768e-05,7.554857989307493e-05
Run_9_1,6,-15.456059098978804,8.434336225036533e-05,6.186139360070229e-05
Run_9_1,7,-15.651128898357276,4.528140579350293e-05,7.051144605502487e-05
Run_9_1,8,-15.023530886708862,9.128855753224345e-05,1.6664031543768945e-05
Run_9_1,9,-14.788073243669382,2.054244610480964e-05,2.1534006809815764e-06
