RunID,seed,dist_m,centroid_x_m,centroid_y_m,seed_x_m,seed_y_m
Run_5_1,24,3.102293909039219e-06,1.14e-05,2.48e-05,9.452013461850584e-06,2.2385548520833253e-05
Run_5_1,25,4.907293221879635e-06,6e-06,5.96e-05,3.532155486755073e-06,5.535838825162501e-05
Run_5_1,26,5.969278721871273e-06,4.5e-05,9e-06,4.713162193074823e-05,1.4575704117305574e-05
Run_5_1,27,2.2446183389274315e-06,5.92e-05,5.06e-05,5.700126616284251e-05,5.0148468161933125e-05
Run_5_1,28,2.139576663786977e-06,6.38e-05,2.36e-05,6.408358118496836e-05,2.1479299641214312e-05
Run_5_1,29,1.1031365852733457e-05,9.2e-05,7.68e-05,9.108198338653892e-05,6.580689861439169e-05
Run_5_1,30,3.683570695338475e-06,3.74e-05,7.18e-05,3.3737973449751734e-05,7.219781228341162e-05
Run_5_1,31,4.151974103719697e-06,7.94e-05,6.72e-05,7.889698569197208e-05,6.307860878296197e-05
Run_6_1,1,1.1069412749703365e-06,8.38e-05,5.56e-05,8.469380664173513e-05,5.625301506370306e-05
Run_6_1,2,2.078335522866648e-06,7.56e-05,4.92e-05,7.678467012010515e-05,4.749235974159092e-05
Run_6_1,3,1.989276497629754e-06,1.42e-05,8.5e-05,1.5873650321736934e-05,8.392477184534074e-05
Run_6_1,4,7.0120633575020205e-06,3.8e-05,2.84e-05,4.37470167176798e-05,2.4382434645667674e-05
Run_6_1,5,4.335765756827171e-06,6.8e-05,3.84e-05,7.226965713780374e-05,3.915424970909953e-05
Run_6_1,6,1.0971621929278557e-06,6.32e-05,5.62e-05,6.256663403473794e-05,5.709588639438152e-05
Run_6_1,7,2.7785919551799404e-06,7.54e-05,1.94e-05,7.412577401846648e-05,2.186919448431581e-05
Run_6_1,8,3.2087046101549675e-06,9.52e-05,7.96e-05,9.602787331677974e-05,7.64999337028712e-05
Run_6_1,9,1.0921724598546125e-06,4.7e-05,9.2e-05,4.80889144120738e-05,9.191570240072908e-05
Run_6_1,10,2.2266956524339122e-06,8.22e-05,7.82e-05,8.389378553256393e-05,7.964542869012803e-05
Run_6_1,11,1.8368740062638242e-06,7.12e-05,9.18e-05,7.303422580007463e-05,9.189859933685512e-05
